banner,table_no,meta,layout,marker,base_stmt,question_title
Ban2,48,POSTINT,per_item,T2 - GOYER,Base: Total Respondents,"POSTINT. Based on the concept you just read, how interested would you be in seeing this new, live-action movie in a theater when it is produced?"
Ban2,49,LIKE,plain,,Base: Total Respondents,LIKE. What do you expect to like about this new movie? What grabs your attention and makes you most interested in seeing this movie in a theater when it is produced
Ban2,50,DISLIKE,plain,,Base: Total Respondents,DISLIKE. What is holding you back from ''definitely'' wanting to see this movie in a theater when it is produced?
Ban2,51,GENREFIT,plain,,Base: Total Respondents,GENREFIT. Which of the following best describe the type of movie this feels like?
Ban2,52,STORYDES,plain,,Base: Total Respondents,"STORYDES. Now that you have a description of the upcoming Fatal Fury movie, which of the following words and phrases would you use to describe the movie?"
Ban2,53,FRESHNSS,plain,,Base: Total Respondents,FRESHNSS. Which of the following best describes this idea?
Ban2,54,VIABLE1,plain,,Base: Total Respondents,"VIABLE1. Based on the concept you just read, how interested would you be in seeing additional stories set in the world of Southtown?"
Ban2,55,CHARDES,plain,,Base: Total Respondents,"CHARDES. Based on the description you just read, which words or phrases best describe the character of Terry Bogard?"
Ban2,56,VIABLE2,plain,,Base: Total Respondents,"VIABLE2. Based on the concept you just read, how interested would you be in seeing more stories centered around the character of Terry Bogard?"
Ban2,57,URG1,plain,,Base: Total Respondents,"URG1. Considering your level of urgency in wanting to see this movie in a theater, when do you think you will most likely attend?"
Ban2,58,URG2,plain,,Base: WILL NOT SEE RIGHT AWAY,URG2. What is holding you back from seeing this movie right away or on opening weekend in a theater?
Ban2,59,HIGHLIGHT-POSITIVE,summary,T1 - Sheridan,Base: Total Respondents,"HIGHLIGHT-POSITIVE. Please focus on the parts of the story you like or would be especially interested to see as part of the movie, and use the POSITIVE button to select them."
Ban2,60,HIGHLIGHT-NEGTIVE,summary,T1 - Sheridan,Base: Total Respondents,"HIGHLIGHT-NEGTIVE. If there are any sections that you don't particularly like or would not look forward to seeing in the movie, use the NEGATIVE button to select them."
Ban2,61,HIGHLIGHT-POSITIVE,summary,T2 - Goyer,Base: Total Respondents,"HIGHLIGHT-POSITIVE. Please focus on the parts of the story you like or would be especially interested to see as part of the movie, and use the POSITIVE button to select them."
Ban2,62,HIGHLIGHT-NEGTIVE,summary,T2 - Goyer,Base: Total Respondents,"HIGHLIGHT-NEGTIVE. If there are any sections that you don't particularly like or would not look forward to seeing in the movie, use the NEGATIVE button to select them."
Ban2,63,IMPROVE,plain,,Base: Total Respondents,IMPROVE. How would you build on or change this description to make it more appealing to you and make you more likely to ''definitely'' want to see this movie in a theater?
Ban2,64,ELEMENT1,summary,'Increases my interest' Summary Table,Base: Total Respondents,ELEMENT1. Please select how each of the following elements affect your interest in seeing this film in a theater.
Ban2,65,ELEMENT1,summary,'Decreases my interest' Summary Table,Base: Total Respondents,ELEMENT1. Please select how each of the following elements affect your interest in seeing this film in a theater.
Ban2,66,ELEMENT1,summary,'Does not change my interest' Summary Table,Base: Total Respondents,ELEMENT1. Please select how each of the following elements affect your interest in seeing this film in a theater.
Ban2,67,ELEMENT2,plain,,Base: Total Respondents,"ELEMENT2. Thinking about what would make you most interested in seeing this movie, which of the following statements best describe your feelings about the description you just read?"
Ban2,68,AUD1,plain,,Base: Total Respondents,AUD1. Would you say this new movie is...?
Ban2,69,AUD2,plain,,Base: Total Respondents,AUD2. Who do you think would enjoy this new movie most
Ban2,70,AUD3,plain,,Base: Total Respondents,AUD3. Does this feel like a movie that could appeal to people even if they know nothing about Fatal Fury?
Ban2,71,SEEWITH,plain,,Base: Total Respondents,"SEEWITH. Who would you see this movie with, in a theater?"
Ban2,72,PLATFORM,plain,,Base: Total Respondents,"PLATFORM. Which of the following gaming platforms, if any, do you currently use to play video games?"
Ban2,73,SOCIAL,plain,,Base: Total Respondents,SOCIAL. Which of the following social media sites/apps do you use most to discover new content or fan communities?
Ban2,74,POLORIENT,plain,,Base: Total Respondents,POLORIENT. In terms of your political orientation would you say you are...?
Ban2,75,EDU,plain,,Base: Total Respondents,EDU. What is your level of education?
Ban2,76,INCOME,plain,,Base: Total Respondents,INCOME. What is your annual household income?
